,instruction,intent
118,iwant assistance canceling order {{Order Number}},cancel_order
16,what do I have to do to cancel purchase {{Order Number}}?,cancel_order
434,I have a proble with canceling purchase {{Order Number}},cancel_order
35,i need assistance canceling purchase {{Order Number}},cancel_order
99,I want assistance canceling purchase {{Order Number}},cancel_order
101,could you help me canceling purchase {{Order Number}}?,cancel_order
20,I'm trying to cancel order {{Order Number}},cancel_order
301,need help to cancel purchase {{Order Number}},cancel_order
422,"I no longer want order {{Order Number}}, I would like to cancel it",cancel_order
81,i want help to cancel purchase {{Order Number}},cancel_order
348,i can no longer arford purchase {{Order Number}},cancel_order
426,"I can't afford purchase {{Order Number}}, could you cancel it?",cancel_order
443,where do i cancel order {{Order Number}},cancel_order
428,cancel purchase00123842,cancel_order
175,"I do not want this item, cancel order {{Order Number}}",cancel_order
167,camceling order {{Order Number}},cancel_order
405,I have a probllem with canceling order {{Order Number}},cancel_order
38,i need help to cancel purchase {{Order Number}},cancel_order
157,can you help me cancelling order {{Order Number}}?,cancel_order
302,i do not know how i could casncel order {{Order Number}},cancel_order
999,remove some items fropm order {{Order Number}},change_order
1348,how ot edit order {{Order Number}}?,change_order
574,change order {{Order Number}},change_order
618,i cant swap an item of order {{Order Number}},change_order
807,how can i get information about updating order {{Order Number}},change_order
1014,wanna correct order {{Order Number}},change_order
584,help me adding some products to order {{Order Number}},change_order
1113,i want help correcting purchase {{Order Number}},change_order
739,wanna remove some items from order {{Order Number}},change_order
1205,how do i change an item of order {{Order Number}},change_order
670,swap some products of order {{Order Number}},change_order
759,need to switch some products of purchase {{Order Number}},change_order
578,want help to change something of order {{Order Number}},change_order
936,I want help to switch something of order {{Order Number}},change_order
848,edit order  {{Order Number}},change_order
567,help with deleting an item from order {{Order Number}},change_order
566,I want to remove some articles from order {{Order Number}},change_order
1016,can I modify order {{Order Number}}?,change_order
1085,help me add some articles to purchase {{Order Number}},change_order
675,how can I delete several ites from purchase {{Order Number}}?,change_order
3294,locate the bill #12588,check_invoice
3572,i have got to look for bill #85632,check_invoice
3451,how can i give a quick look at my bills from {{Person Name}},check_invoice
3389,how can I check my fucking bill from {{Person Name}}?,check_invoice
4110,check my ibll from {{Person Name}},check_invoice
3684,i dont know what to do to locate invoice #85632,check_invoice
3968,i dont know what i have to do to look fopr my bill #00108,check_invoice
4021,want help to see my bilo from {{Person Name}},check_invoice
3973,help to give a quick look at my invoice #85632,check_invoice
3682,see the invoice #00108,check_invoice
3881,i dont kmow how i can locate bill #37777,check_invoice
3332,I don't know how to locate the invoice #85632,check_invoice
3958,checking invoice,check_invoice
3335,how to locate my bill #12588?,check_invoice
3407,how can I give a quick look at my bill #00108?,check_invoice
3964,help me to take a quick look at my invoice #12588,check_invoice
4050,"I want to locate invoice #37777, how to do it?",check_invoice
3415,how can I find bill #00108?,check_invoice
3647,i cannot find invoiced #00108,check_invoice
3970,i have to see the invoice #00108,check_invoice
5078,I want assistance seeing your accepted payment methods,check_payment_methods
4711,how can I check what payment methods are accepted?,check_payment_methods
4424,I do not know how I can list the allowed payment options,check_payment_methods
4405,I want assistance listing your allowed payment methods,check_payment_methods
4616,want assistance to check your accepted payment options,check_payment_methods
4663,"I have got to see your payment modalities, will you help me?",check_payment_methods
4376,"I want to see the allowed payment methods, can you help me?",check_payment_methods
4763,I am trying to see the accepted payment options,check_payment_methods
4230,want assistance seeing what payment optionsare available,check_payment_methods
4674,can uhelp me check the bloody allowed paymentmethods,check_payment_methods
5112,i do not know how to check the allowed payment modalities,check_payment_methods
5161,show me your fucking accepted payment options,check_payment_methods
4831,I want help to see the payment methods,check_payment_methods
5121,I try to check the payment modalities,check_payment_methods
5094,I need assistance listing the available payment methods,check_payment_methods
4359,i have got to see the available payment modalities,check_payment_methods
4806,"I have to se what payment methods you accept, I need help",check_payment_methods
5016,can I check the bloody payment methods?,check_payment_methods
4447,"I want to check your payment methods, I need assistance",check_payment_methods
4766,is it possible to check the allowed paymentmodalities,check_payment_methods
5275,I have got to see how long refunds take,check_refund_policy
5920,help me check in which cases can i ask ofr reimbursements,check_refund_policy
5944,check under which circumstances can I ask to be refunded,check_refund_policy
5434,i have to check in what cases can i ask for refunds,check_refund_policy
5566,see in which cases can I ask to be reimbursed,check_refund_policy
5852,help checking in which cases can I request reimbursements,check_refund_policy
5943,"I would like to check your money back guarantee, help me",check_refund_policy
5561,can I see under what circumstances can I request a refund?,check_refund_policy
5865,can i see in what situations can i request to be refunded,check_refund_policy
5240,help checking in what cases can I request to be reimbursed,check_refund_policy
6027,I need to see in what cases can I request to be refunded,check_refund_policy
6099,help me seeing in which cases can I ask for my money back,check_refund_policy
5261,I want to check in which cases can I request my money back,check_refund_policy
5518,show me in which cases can I request a refund,check_refund_policy
5853,show me under which circumstances can i ask to be reimbursed,check_refund_policy
5922,show me ur reimbursement policy,check_refund_policy
5778,help to check in which cases can I ask to be refunded,check_refund_policy
5999,I have to check in which cases can I request my money back,check_refund_policy
5912,in what situations can I request to be refunded ?,check_refund_policy
5994,wanna see inwhich cases can i ask to be refunded i need help,check_refund_policy
6505,my experience with uwas too bad help to file a reclqmation,complaint
7123,how can I lodge a consumer claim against your business?,complaint
6697,"I ain't happy with your services, help lodging a complaint",complaint
7104,need help filing a reclamation,complaint
6882,I am trying to lodge a customer complaint,complaint
6627,I need help making a claim against your business,complaint
6585,lodging claim,complaint
6642,how can I lodge a customer claim?,complaint
7121,file complaint,complaint
6441,I do not know how I can make a bloody reclamation,complaint
6486,making consumer complaint against ur business,complaint
6575,"I have got to lodge a complaint, can I get some help?",complaint
6951,I do not know how to lodge a claim against your business,complaint
6679,making complaint against your organization,complaint
6901,I want assistance making a complaint against your business,complaint
6356,"I am unhappy with your services, how do I lodge a complaint?",complaint
6238,"I am unhappy with your service, I have to file a reclamation",complaint
6579,I need help making a complaint,complaint
6439,can i lodge a customer claim against ur business,complaint
6759,need help lodging a reclamation against ur business,complaint
8113,how can I check at what time I can call customer service?,contact_customer_service
7678,wanna contact customer assistance,contact_customer_service
7544,how do I see at what time I can call customer support?,contact_customer_service
7388,"I have to speak to customer support, how can I do it?",contact_customer_service
7639,I need help to call customer assistance,contact_customer_service
7788,see what hours customer support available is,contact_customer_service
7291,is it possible to get in touch with customer support?,contact_customer_service
7526,I need  help speaking with customer assistance,contact_customer_service
7683,help checking what hours customer support available is,contact_customer_service
7880,tell me at what time customer service available is,contact_customer_service
7819,i dont know what to do to talk to customer support,contact_customer_service
7334,can i check at what time i can reach customer support,contact_customer_service
7674,help me calling customer assistance,contact_customer_service
8147,"I need to talk to customer support, how can I do it?",contact_customer_service
8012,i want assistance calling customer support,contact_customer_service
8032,"I want to contact customer support, can I get some help?",contact_customer_service
7677,how do I see what hours I can contact customer service?,contact_customer_service
7362,how to see at what time I can contact customer service?,contact_customer_service
8047,I odn't know how I could speak to customer support,contact_customer_service
7737,i want help speaking to customer support,contact_customer_service
8555,I do not know how I can talk with a human agent,contact_human_agent
8487,need assistance to speak with somebody,contact_human_agent
8333,can you help me contact osmeone?,contact_human_agent
8578,help me speaking with a person,contact_human_agent
8987,I need to chat with an assistant,contact_human_agent
8813,i want help speaking to somebody,contact_human_agent
8758,I do not know what to do to chat with an operator,contact_human_agent
8953,I do not know how to talk with a live agent,contact_human_agent
9056,i dont know what to do to chat with a fucking assistant,contact_human_agent
8625,what do i have to do to contact an agwnt,contact_human_agent
9082,I need assistance speaking to a human agent,contact_human_agent
8715,I don't know how to speak with a humnan agent,contact_human_agent
8877,can I speak with a person ?,contact_human_agent
8933,i want assistance chatting with a person,contact_human_agent
8905,I don't know what I have to do to contact someone,contact_human_agent
8879,want help speaking with a live agent,contact_human_agent
8659,i need assistance talking to a person,contact_human_agent
8723,i dont know what i have to do to speak to an assistant,contact_human_agent
9140,I need assistance to contact a live agent,contact_human_agent
8945,"I cannot understand you, help me talking to a live agent",contact_human_agent
9896,open gold account,create_account
9294,i try to create a damn {{Account Category}} account,create_account
9505,i need a {{Account Category}} account i wanna open it,create_account
9995,"I need to open a new fucking standard account, help me",create_account
9779,have a problem with creating a Premiumaccount,create_account
10045,new pro account,create_account
9751,"I am not registered, I want assistance opening a {{Account Type}} accont",create_account
9585,I have to open an pro account for my dad,create_account
9961,i have to open a platinum account,create_account
9335,would it be possible to open a {{Account Type}} account for my daughter?,create_account
9878,"I have to create a {{Account Category}} account, I need assistance",create_account
10042,where do I create a gold account?,create_account
9344,i have problems  with opening a {{Account Category}} account,create_account
9421,creating new pro account,create_account
9876,can i open a {{Account Type}} account,create_account
9839,"I ain't registered yet, I try to open a {{Account Category}} account",create_account
9577,opening new {{Account Type}} account,create_account
10052,I need help opening a new goddamn gold account,create_account
9493,whatdo i have to do to create a goddamn {{Account Type}} account,create_account
9849,how do i create a {{Account Category}} account,create_account
10185,what do I have to do to cancel my {{Account Category}} acdcount?,delete_account
10232,"I don't want my user account, help cancelling it",delete_account
10497,is it possible to delete my standard account?,delete_account
10311,could you help me deleting a platinum account?,delete_account
10713,I have a question about the deletion of my {{Account Type}} account,delete_account
10226,i do not know what i need to do to cancel the gold account,delete_account
10729,problem with the termination of my pro account,delete_account
10441,I don't know how I can close my platinum account,delete_account
10214,i want assistance to cancel a {{Account Type}} account,delete_account
10887,is it possible to delete the standard account?,delete_account
10169,"I have to close my bloody standard account, how to do it?",delete_account
10816,"I don't use the {{Account Type}} account, need help cancelling it",delete_account
10831,delete pro account,delete_account
10585,problem with the removal of a freemium account,delete_account
10544,pfoblem with {{Account Category}} account terminations,delete_account
10984,delete account,delete_account
10482,I have problems with the deletion of my {{Account Category}} account,delete_account
10595,i want assistance cancelling an {{Account Category}} account,delete_account
10941,i dont know what to do to canfel my {{Account Type}} account,delete_account
10915,give me information about the removal of a {{Account Type}} account,delete_account
11624,I want help checking what shipment options I can choose,delivery_options
11370,I have to see the shipment options,delivery_options
11511,how to see the shipment options,delivery_options
11416,"I have to see what options for delivery are there, help me",delivery_options
11441,i dont know how i can see the delivery options,delivery_options
11036,can you tell me more about the methods for delivery?,delivery_options
11154,can I place an ordewr from {{Delivery Country}}?,delivery_options
11520,can I place a bloody order from {{Delivery City}}?,delivery_options
11119,where can I find information about the methods for shipping?,delivery_options
11246,can you help me see what methods for delivery I have?,delivery_options
11381,I am calling to see what shipment methods are there,delivery_options
11140,is it possibleto place an order from {{Delivery City}},delivery_options
11542,want assistance seeing the delivery options,delivery_options
11528,where can i see the methods for shipping,delivery_options
11428,help me check what shipping methods are available,delivery_options
11150,where can I see what methods for delivery are available?,delivery_options
11179,can I see the shipping options?,delivery_options
11189,what shipment options can I choose?,delivery_options
11481,I don't know how to check the goddamn shipment methods,delivery_options
11363,i dont know how to check what methods for delivery are there,delivery_options
12123,can I check how soon can I expect the parcel?,delivery_period
12304,where  to check how soon can I expect my shipment?,delivery_period
11952,I have got to see when my package is going to arrive,delivery_period
12492,where do I check when my package is going to arrive?,delivery_period
12016,i have to see how long it takes for my delivery to arrive,delivery_period
12520,where do I check how long it takes for my package to arrive?,delivery_period
11918,want help checking how soon can i expect my shipment,delivery_period
12287,I want assistance seeing how soon can I expect my parcel,delivery_period
11946,need to check when my parcel is gonna arrive help me,delivery_period
12384,help me to see when my purchase is gonn arrive,delivery_period
11732,"I want to check when will my product arrive, how do I do it?",delivery_period
12414,i do not know what to do to see how long the shipping takes,delivery_period
12025,can you show me how long it takes for my delivery to arrive?,delivery_period
11711,can you help me see how soon can I expect the order?,delivery_period
12009,i dont know how i can ese how soon can i expect the order,delivery_period
11714,I want to check when will my purchase arrive,delivery_period
12519,"I want to see how long the shipment takes, can you help me?",delivery_period
11822,I'm calling to see when my delivery is gonna arrive,delivery_period
11870,where do i see when my product is gonna arrive,delivery_period
12214,where do I see when my package is going to arrive?,delivery_period
13410,modifying standard account,edit_account
13230,changing data on standard  account,edit_account
12733,correcting info on standard aqccount,edit_account
13118,could I edit my personal information?,edit_account
12981,change details on {{Account Category}} account,edit_account
13184,i do not know what i have to do to edit the user information,edit_account
12788,change data on pro account,edit_account
13177,edit information on premium account,edit_account
13151,chnge data on gold account,edit_account
13308,correct data on pro account,edit_account
13140,updating info on pro account,edit_account
13411,wanna change the personal details i need help,edit_account
